Id,y,x1,x2,x3,x4,x5,X^2,,,,,expo^x,,,,,cos(x),,,,,const
10,3.9861004977,-0.8954665612,0.3869024979,-0.5108051376,-1.1806321841,-0.0281822283,0.8018603622,0.1496935428,0.2609218886,1.3938923542,0.000794238,0.4084170027,1.4724129209,0.6000122918,0.3070845433,0.9722111862,0.625154733,0.9260822554,0.872351175,0.380340227,0.9996029073,1
11,-8.7740039364,0.4283318705,0.0665172224,0.3024718977,-0.6343220937,-0.362741166,0.1834681913,0.0044245409,0.0914892489,0.4023645185,0.1315811535,1.5346953166,1.0687793708,1.3531996479,0.5302948567,0.6957664982,0.9096598792,0.9977885451,0.9546030755,0.8054736302,0.9349276666,1
12,3.5974494485,-0.6724604478,-0.3595531615,-0.813146282,-1.7262826023,0.1774261423,0.4522030538,0.129278476,0.661206876,2.9800516231,0.031480036,0.5104510932,0.6979881443,0.4434606168,0.1779446731,1.1941398582,0.7822913913,0.9360541399,0.6872162123,-0.1548605269,0.9843012301,1
13,16.1319157197,-0.4017809362,-1.630198347,0.4627822555,-0.9072983644,0.0519453958,0.1614279207,2.6575466505,0.214167416,0.823190322,0.0026983241,0.6691273112,0.1958907159,1.5884874204,0.4036131681,1.0533182253,0.9203660045,-0.059367092,0.8948138539,0.6158764585,0.9986511413,1
14,18.6239147965,0.7290905622,0.1289829108,1.1394006845,-1.2348258204,0.4023416412,0.5315730479,0.0166365913,1.2982339199,1.5247948066,0.1618787962,2.0731943088,1.1376706821,3.124895006,0.2908854243,1.495322109,0.7457805706,0.9916932303,0.418138987,0.3296855712,0.9201465916,1
15,10.3526271377,-0.6848100909,-0.8707971492,-0.5788496648,-0.3115525321,0.0561653422,0.4689648607,0.758287675,0.3350669344,0.0970649803,0.0031545457,0.50418597,0.4186177154,0.560542808,0.7323091397,1.0577725638,0.7745391835,0.6442170582,0.8370925076,0.951858809,0.9984231418,1
16,-4.6890131907,-1.1651498408,0.900826487,0.4656624397,-1.5362436863,1.4882521938,1.3575741515,0.8114883596,0.2168415078,2.3600446636,2.2148945923,0.3118759268,2.4616367813,1.5930691517,0.2151878984,4.4293471093,0.3946128648,0.6209623466,0.8935243164,0.0345457656,0.0824504287,1
17,-14.4832638443,1.895889176,1.1787795712,-0.1799248358,-1.0707526215,1.0544517269,3.5943957678,1.3895212774,0.0323729465,1.1465111765,1.1118684444,6.6584663219,3.2504048934,0.8353329962,0.342750459,2.8704009589,-0.3193967731,0.3820529562,0.9838571466,0.4794638931,0.4937045989,1
18,-10.1015109189,-0.403176947,1.2224450704,0.2082749781,0.9766390365,0.3563663972,0.1625516506,1.4943719501,0.0433784665,0.9538238076,0.126997009,0.668193854,3.3954797792,1.2315517727,2.6555161338,1.4281307155,0.9198191865,0.3413485574,0.9783890573,0.5598106668,0.9371706672,1
19,-18.379688795,0.7065731682,0.0105000207,1.7858704939,0.1269120927,0.4019893634,0.499245642,0.0001102504,3.189333421,0.0161066793,0.1615954483,2.0270330418,1.0105553394,5.9647699842,1.1353172107,1.4947954331,0.7605911435,0.9999448753,-0.2134198872,0.9919574639,0.9202844773,1
20,2.3248417416,1.8831506971,-1.3477590611,-1.2704849985,0.9693967082,-1.1731234051,3.5462565478,1.8164544869,1.6141321314,0.9397299778,1.3762185236,6.5741855328,0.2598218536,0.2806954519,2.6363534889,0.3093990519,-0.3072999347,0.2211926717,0.2958176156,0.5657970751,0.3872739088,1
21,-11.8975066642,1.9436211856,-0.4136189808,-0.7474548114,1.9229420265,1.4805147914,3.7776633133,0.1710806612,0.5586886951,3.6977060372,2.1919240477,6.9839955799,0.6612528533,0.473570346,6.8410554582,4.3952077139,-0.3642476788,0.9156722607,0.7334213962,-0.3449126283,0.0901589415,1
22,-17.5961953693,1.8675589604,0.9060446583,-0.8612256851,1.9100649531,-0.268003371,3.4877764707,0.8209169228,0.7417096806,3.6483481251,0.0718258068,6.4724775261,2.4745155965,0.4226437366,6.7535274468,0.7649052026,-0.2924258892,0.6168636975,0.651508102,-0.332797497,0.9643015387,1
23,3.4145797748,0.8024563958,0.9472519678,-0.1550100931,0.6140793703,0.9222066716,0.6439362672,0.8972862905,0.024028129,0.3770934731,0.8504651451,2.2310144577,2.5786138001,0.8564065337,1.8479545344,2.5148336836,0.6949424987,0.5839161823,0.9880099726,0.8173042658,0.6040630516,1
24,-14.0608847462,0.3764255312,-1.0994007906,0.2982381742,1.3263858967,-0.6945678597,0.1416961805,1.2086820983,0.0889460086,1.7592995469,0.4824245118,1.4570670293,0.333070603,1.3474826853,3.7674029699,0.4992901648,0.9299845437,0.4541300598,0.9558556613,0.2419843189,0.7683303664,1
25,-27.9017009414,-0.1496345403,-0.4351535517,1.8492637285,0.672294757,0.4074618362,0.0223904957,0.1893586136,3.4197763375,0.4519802403,0.166025148,0.861022588,0.6471652861,6.355138692,1.9587269698,1.5029980844,0.9888256255,0.9068053233,-0.2748824126,0.7823945914,0.9181296033,1
26,-20.4974593353,-0.7699160744,0.5392491913,-0.6743326607,0.0318305583,-0.6358460784,0.5927707617,0.2907896903,0.4547245372,0.0010131844,0.4043002354,0.4630519286,1.7147189528,0.5094963141,1.0323425686,0.529487311,0.7179690906,0.8580944574,0.7811237958,0.9994934506,0.8045695337,1
27,-8.980628223,0.6764332949,0.5765908166,-0.2082987556,0.3960067127,-1.0930615087,0.4575620025,0.3324569698,0.0433883716,0.1568213165,1.1947834619,1.9668500329,1.7799598656,0.8119644216,1.4858792917,0.335188738,0.7798104874,0.8383260995,0.9783841405,0.9226087054,0.4597687877,1
28,-0.1966268584,-1.4912575927,0.4393917013,0.1666734954,0.6350314369,2.3831447749,2.2238492078,0.1930650671,0.0277800541,0.4032649258,5.679379018,0.2250894067,1.5517629959,1.1813684801,1.8870814645,10.838935335,0.0794548948,0.9050105943,0.9861420987,0.8050530484,-0.7259044268,1
29,1.2025424243,0.944479487,-0.9128222254,1.1170162881,-1.3159074105,-0.4615846048,0.8920415013,0.8332444153,1.2477253879,1.731612313,0.2130603474,2.5714745442,0.4013898115,3.0557231903,0.2682308173,0.6302841026,0.5861646738,0.6115151507,0.4383661434,0.2521379154,0.8953478905,1
30,5.2570338657,-0.0682416053,1.7133427216,-0.744754822,-0.8264385387,-0.0984525244,0.0046569167,2.9355432818,0.554659745,0.6830006582,0.0096928996,0.9340347785,5.547474181,0.4748507086,0.4376050277,0.9062387158,0.9976724451,-0.1420641404,0.735254104,0.6774995885,0.9951574636,1
31,-1.3789433939,-0.6634782864,1.1266359221,-1.0799315084,-1.1474686524,-0.4378200447,0.4402034365,1.269308501,1.1662520628,1.3166843083,0.1916863916,0.5150567005,3.0852599677,0.3396187859,0.3174393024,0.6454419231,0.787854861,0.429699901,0.4713887698,0.4107966525,0.9056780417,1
32,4.6176408988,-0.4980324507,1.9295320538,0.9494208069,0.0875512414,-1.2254355188,0.2480363219,3.7230939467,0.9013998686,0.0076652199,1.5016922108,0.6077252135,6.8862870758,2.5842124678,1.0914981929,0.2936297912,0.878524156,-0.351090723,0.5821541165,0.9961698376,0.3385362027,1
33,-17.9098995372,0.8443629764,-1.0002153474,-1.5447710968,1.1880297924,0.3169426119,0.7129488359,1.0004307412,2.3863177414,1.4114147875,0.1004526193,2.32649531,0.3678002278,0.2133607046,3.2806113504,1.3729237802,0.664207623,0.5401210848,0.0260222922,0.3734882294,0.9501927321,1
34,-17.6577966497,0.9208588238,0.3187276529,0.8568306119,-0.6510255933,-1.0342428418,0.8479809733,0.1015873168,0.7341586975,0.4238343231,1.0696582558,2.5114463539,1.3753766941,2.3556827768,0.5215106446,0.3554954453,0.6051366517,0.9496348875,0.6548360845,0.7954627049,0.5111768381,1
35,3.5882732346,0.6815945183,-0.8034096642,-0.6895497778,-0.4555325035,0.017479159,0.4645710874,0.6454670885,0.475478896,0.2075098618,0.000305521,1.977027627,0.4477995122,0.5018019406,0.6341102121,1.0176328135,0.7765691087,0.6942567208,0.77153252,0.8980268856,0.9998472434,1
36,-1.4055402505,-0.3539939113,-1.3749512934,-0.6436184028,-2.2234031522,0.625231451,0.1253116892,1.8904910593,0.4142446485,4.9435215773,0.3909143674,0.7018792409,0.2528519111,0.5253879154,0.1082401237,1.8686784149,0.937995721,0.1945954837,0.7999296181,-0.6072595986,0.8108276764,1
37,-11.6127657036,-1.6020576556,-1.1043833394,0.0521650793,-0.7395629964,1.5430145954,2.5665887319,1.2196625604,0.0027211955,0.5469534256,2.3808940416,0.2014815116,0.3314151899,1.0535496474,0.4773224616,4.6786733401,-0.0312562373,0.449685312,0.9986397108,0.7387631545,0.0277781578,1
38,-21.8780288587,-1.2928569097,0.2670508693,-0.0392828182,-1.1680934977,0.5232766605,1.671478989,0.0713161668,0.0015431398,1.3644424195,0.2738184635,0.2744854816,1.3061068854,0.961478747,0.310959221,1.6875481227,0.2743747288,0.9645533299,0.9992285293,0.3919063873,0.8661864164,1
39,-1.2830687933,-0.1715463312,0.7717905512,0.823504154,2.1632359493,1.3365279494,0.0294281438,0.5956606549,0.6781590916,4.6795897723,1.7863069596,0.8423612395,2.1636368901,2.2784699747,8.6992424685,3.8058065861,0.9853219767,0.7166630536,0.6796549764,-0.5583865468,0.2321314097,1
40,-17.1050087242,-0.3691818379,-0.2393791776,1.0996595959,0.6552637307,0.6401315261,0.1362952295,0.0573023907,1.2092512268,0.4293705568,0.4097683707,0.6912996945,0.7871163689,3.0031435675,1.9256503036,1.8967303324,0.9326228936,0.9714853588,0.4538994658,0.7928872465,0.8020172042,1
41,-14.0715661983,-1.6169560443,-0.0243261244,-0.7380309092,0.279924599,-0.0981503896,2.6145468492,0.0005917603,0.5446896229,0.0783577811,0.009633499,0.1985020117,0.9759673711,0.4780543217,1.3230300508,0.9065125634,-0.046143327,0.9997041344,0.7397948604,0.9610762731,0.9951871161,1
42,-11.9903423594,0.9101789081,0.3172182152,0.7863279621,-0.4664190967,-0.9444462559,0.8284256447,0.100627396,0.618311664,0.2175467738,0.8919787303,2.4847670386,1.3733022146,2.1953203081,0.6272443529,0.3888948595,0.6136044911,0.9501068007,0.7064490087,0.8931843105,0.5861915971,1
43,-7.6906443873,-0.4100496932,-0.0170204139,0.3791517356,2.2593089507,-0.0422571517,0.1681407509,0.0002896945,0.1437560386,5.1044769347,0.0017856669,0.663617272,0.9831236151,1.4610447114,9.5764690673,0.9586232373,0.9171010135,0.9998551563,0.9289789401,-0.6353893457,0.9991072994,1
44,15.010717876,-0.9559450005,-0.3459817757,-0.4635959746,0.4814814738,-1.5407970144,0.913830844,0.1197033891,0.2149212277,0.2318244096,2.3740554397,0.3844486687,0.7075253811,0.6290176422,1.6184703484,0.2142103047,0.5768370832,0.9407429658,0.8944502814,0.8863098359,0.0299948129,1
45,10.4959894547,0.0632619942,0.156506538,0.2321810362,-0.597316069,-0.2379217297,0.0040020799,0.0244942964,0.0539080336,0.3567864862,0.0566067495,1.0653059066,1.1694184079,1.2613480578,0.5502865871,0.7882643863,0.9979996273,0.9877778302,0.9731668523,0.8268481019,0.9718298871,1
46,-9.2358957622,-1.424060909,-0.4933198834,-0.542861476,0.4160500463,-1.1561824318,2.0279494725,0.2433645073,0.2946985821,0.173097641,1.3367578157,0.2407344286,0.6105959183,0.5810831157,1.5159617352,0.314685223,0.1462094174,0.8807655761,0.8562339841,0.914692448,0.4028365693,1
47,1.4386566742,0.7811981017,1.4944845445,-2.069985025,0.4262587308,0.676908035,0.6102704741,2.2334840537,4.2848380038,0.1816965056,0.4582044879,2.1840874575,4.4570385556,0.1261876713,1.5315169745,1.9677839971,0.7100704277,0.0762377371,-0.4787133966,0.9105190105,0.7795132048,1
48,3.5119610426,-0.6374370256,-0.3972718143,-0.1328805776,-0.2977908794,-0.309012969,0.4063259615,0.1578248945,0.0176572479,0.0886794079,0.095489015,0.5286455944,0.6721513004,0.8755696485,0.7424565865,0.7341712485,0.8036237184,0.9221199705,0.9911843592,0.9559869972,0.9526342083,1
49,-20.1292988931,-1.6760038063,1.1523315648,1.079618592,-0.8133642592,-1.4664243278,2.8089887588,1.3278680352,1.1655763043,0.6615614182,2.1504003092,0.1871202527,3.165565032,2.943556641,0.4433639631,0.230749095,-0.1050135034,0.4063581642,0.4716647156,0.6870578458,0.1041826059,1
50,8.1563731431,0.5210648765,-0.5757879698,0.1419531633,-0.3193284171,0.6915387511,0.2715086055,0.3315317862,0.0201507006,0.101970638,0.4782258442,1.6838197554,0.562261649,1.1525226669,0.7266368701,1.9967857267,0.8672895718,0.8387635165,0.9899415571,0.9494464615,0.7702656301,1
51,-13.8317535462,0.6947491437,-0.7255973785,-1.3833639554,-1.5829383973,0.6103793791,0.4826763726,0.5264915556,1.9136958331,2.5056939698,0.3725629864,2.0032064938,0.4840353303,0.2507336759,0.2053707499,1.8411297525,0.7682143224,0.7481031456,0.186336853,-0.0121417722,0.8194306249,1
52,-2.4399610421,-1.1888592578,-0.5068163543,-0.5963140385,-0.0525672963,-1.9362798058,1.4133863348,0.256862817,0.3555904325,0.0027633206,3.7491794865,0.3045685001,0.6024103904,0.5508382674,0.9487904688,0.144239552,0.3727186599,0.8742942655,0.827411254,0.9986186578,-0.357400882,1
53,4.0107376438,0.1887785968,0.5238910238,0.088422087,-0.3108861717,0.0974001663,0.0356373586,0.2744618049,0.0078184655,0.0966502118,0.0094867924,1.2077735179,1.6885852089,1.0924491334,0.7327972842,1.1023013892,0.9822341754,0.8658792427,0.9960933136,0.9520628617,0.9952603526,1
54,-1.4434936124,0.3990463456,-2.7725927564,1.9559123083,0.3900933227,-0.6524085824,0.159237986,7.687270593,3.8255929576,0.1521728004,0.4256369584,1.4904026907,0.0624997479,7.0703664359,1.4771186361,0.5207898995,0.9214319456,-0.9326885319,-0.3756666257,0.9248735756,0.7946238495,1
55,16.1827805701,-0.3909533752,0.4937417773,-0.116103939,-2.0306844678,2.0644928614,0.1528445416,0.2437809427,0.0134801247,4.1236794077,4.2621307746,0.6764116929,1.638435425,0.890382673,0.131245657,7.8812999722,0.9245461774,0.8805657087,0.9932675057,-0.4438478726,-0.4738842393,1
56,2.1500548217,-0.1105406572,1.0201727117,-0.6920498478,1.5363770542,0.2863436889,0.0122192369,1.0407523617,0.4789329918,2.3604544528,0.0819927082,0.895349927,2.7736737686,0.5005489675,4.6477212896,1.3315500156,0.9938966003,0.5232187744,0.7699395912,0.0344124769,0.9592829983,1
57,1.8231593564,0.6088438345,-1.0452533661,1.2111452897,0.6898181645,1.3018462296,0.3706908148,1.0925545994,1.4668729127,0.4758491001,1.6948036054,1.838304785,0.3516027239,3.3573275641,1.993353038,3.676077289,0.8203097995,0.5016827676,0.3519476186,0.7713617473,0.2657194241,1
58,-0.9346573151,-0.6280875596,-0.4810271185,2.3039166977,-1.0600158227,-0.1359497007,0.3944939826,0.2313870887,5.3080321499,1.1236335444,0.0184823211,0.5336113256,0.6181481542,10.0133249167,0.3464503285,0.872886537,0.8091527342,0.8865201531,-0.6691916052,0.4888582788,0.9907730639,1
59,-8.6740610543,1.1368913626,0.0977249677,0.5829536798,-0.3994490293,0.3700558878,1.2925219704,0.0095501693,0.3398349927,0.159559527,0.1369413601,3.1170634684,1.1026594764,1.7913216149,0.6706894745,1.4478155277,0.4204170937,0.9952287144,0.8348403163,0.9212754123,0.9323071342,1
60,-0.6014685567,-1.3065268517,1.6581306796,-0.1181640451,-0.680178204,0.666383082,1.7070124143,2.7493973507,0.0139627416,0.4626423892,0.444066412,0.2707588107,5.2494886907,0.8885502783,0.5065267192,1.9471817719,0.2612041742,-0.0872233744,0.9930267487,0.777460653,0.7860625893,1
61,9.271156171,-0.4607197874,-1.3342584714,-1.3467175058,0.6937731527,-0.1595734381,0.2122627225,1.7802456685,1.8136480404,0.4813211874,0.0254636822,0.630829419,0.2633533871,0.2600926135,2.0012523362,0.8525073585,0.8957327172,0.234338296,0.2222083077,0.7688387787,0.9872951526,1
62,-8.2636436609,-0.1337015597,1.077743806,-1.1268258088,-0.7306777529,-0.3848798092,0.0178761071,1.1615317113,1.2697364033,0.5338899785,0.1481324675,0.8748511165,2.9380432718,0.3240602548,0.4815824855,0.680532425,0.9910752533,0.4733170308,0.429528431,0.7447222584,0.9268435647,1
63,-12.0993838161,0.0943515893,-0.0421714513,-0.2868871924,-0.0616264021,-0.1073052763,0.0089022224,0.0017784313,0.0823042612,0.0037978134,0.0115144223,1.0989460557,0.9587053952,0.750596397,0.9402340907,0.8982514163,0.9955521899,0.9991109161,0.9591293459,0.9981016942,0.994248311,1
64,1.2933969963,-0.7196043886,-0.8129929886,0.2745163577,-0.890915083,-1.1573552592,0.517830476,0.6609575994,0.0753592307,0.7937296851,1.339471196,0.4869448588,0.4435286017,1.3158940989,0.4102801405,0.3143163679,0.7520665304,0.6873275647,0.9625564166,0.628700678,0.4017628366,1
65,3.5943656543,-0.3122922511,-0.1576670162,2.2567234973,-0.7047002759,0.943260725,0.0975264501,0.024858888,5.0928009433,0.4966024788,0.8897407953,0.7317676371,0.8541341475,9.5517415326,0.4942566927,2.5683424377,0.9516317975,0.9875962832,-0.633390758,0.7618057489,0.5871516694,1
66,1.3250372786,0.7471883342,-1.1889449552,0.7732529774,-1.1838806402,-2.659172238,0.5582904068,1.4135901065,0.5979201671,1.4015733702,7.0711969913,2.1110560802,0.3045424005,2.1668033642,0.3060886111,0.0700061462,0.7336025146,0.3726391361,0.715642363,0.3773339019,-0.8858746282,1
67,-14.5998897791,0.6063195244,-1.7558905834,0.4509344618,-0.6840108977,1.6595507962,0.3676233656,3.083151741,0.2033418888,0.4678709082,2.7541088451,1.8336701857,0.1727533225,1.5697783983,0.504589073,5.2569488725,0.8217508864,-0.184039181,0.9000402506,0.7750444465,-0.0886379902,1
68,6.1505994813,1.0685093993,-0.4533858039,-0.687837611,-1.2140774031,-0.4409226323,1.1417123364,0.2055586871,0.4731205791,1.4739839407,0.1944127677,2.9110370705,0.6354729184,0.5026618451,0.2969838844,0.6434424863,0.4814312508,0.898969236,0.7726206518,0.3492015937,0.9043582927,1
69,-7.7684371977,-0.2803554952,-0.3646935444,0.1567038553,0.5785214977,0.349654457,0.0785992037,0.1330013813,0.0245560983,0.3346871233,0.1222582393,0.7555151117,0.6944094239,1.1696491772,1.78339972,1.4185772844,0.9609571345,0.9342331064,0.9877470554,0.83727199,0.9394911427,1
70,0.2698031554,-0.7641439239,-1.4377914738,1.3645318481,-0.6894491845,-0.6522935999,0.5839159364,2.0672443221,1.8619471645,0.4753401781,0.4254869405,0.4657324628,0.2374515981,3.9138903278,0.501852421,0.5208497847,0.7219749574,0.1326130506,0.2048049986,0.7715965125,0.7946936503,1
71,23.4229899089,-0.5211893123,-1.8430695502,-0.477974004,-0.479655814,0.6203582983,0.2716382993,3.3969053667,0.2284591485,0.2300696999,0.3848444183,0.5938138977,0.1583306755,0.6200383153,0.618996405,1.859594212,0.8672276204,-0.2689216121,0.8879286645,0.8871538082,0.8136702205,1
72,15.9718137501,0.6984571491,0.0037708891,0.9318483741,0.3399649838,-0.0156821116,0.4878423891,1.42196045009452E-05,0.8683413923,0.1155761902,0.0002459286,2.0106481828,1.0037780078,2.539198231,1.4048983955,0.9844402124,0.7658352084,0.9999928902,0.5963512683,0.9427663424,0.9998770382,1
73,12.4211856436,0.1609281683,-0.1906534936,-0.394849514,-0.2677335369,-1.1280113315,0.0258978754,0.0363487546,0.1559061387,0.0716812468,1.2724095639,1.1746005922,0.826418898,0.6737814263,0.765111628,0.3236763017,0.987078984,0.9818806074,0.9230544621,0.9643729574,0.4284575391,1
74,1.3342161838,0.2804417053,-0.9931236109,0.8416312641,-0.2494585802,0.0494949817,0.0786475501,0.9862945066,0.7083431847,0.0622295832,0.0024497532,1.3237143749,0.3704178408,2.3201486666,0.7792225554,1.0507403192,0.9609332768,0.5460757682,0.6662472287,0.9690462291,0.9987753734,1
75,5.4077335383,0.4938367763,0.6433144651,-1.5706234086,-0.2069036762,0.8801789121,0.2438747616,0.413853501,2.4668578917,0.0428091312,0.7747149173,1.638591082,1.9027771275,0.2079155256,0.8130979669,2.4113310841,0.8805206825,0.8001119723,0.0001729182,0.9786716848,0.6370132395,1
76,-10.6032236672,-1.6981058194,0.3872804754,-2.2555642294,-1.0225068436,0.0386305518,2.883563374,0.1499861666,5.087569993,1.0455202453,0.0014923195,0.1830298876,1.4729695651,0.1048143877,0.3596921171,1.0393864133,-0.1269658721,0.9259395701,-0.6324932538,0.5212282074,0.999253933,1
77,-12.1349380093,-1.6567151023,-0.9855107377,-1.4718350075,1.6481349322,0.1642277555,2.7447049303,0.9712314141,2.1662982892,2.7163487548,0.0269707557,0.1907645942,0.3732485461,0.2295039571,5.1972775074,1.1784826904,-0.0858131053,0.5524374589,0.0987998714,-0.0772615314,0.9865449042,1
78,7.397139066,0.5672902779,-0.2226751005,-0.3534317488,-1.6164741887,-0.2918373627,0.3218182593,0.0495842004,0.124914001,2.6129888026,0.0851690463,1.763482025,0.8003748484,0.702273922,0.1985976841,0.7468899982,0.8433601354,0.975310172,0.9381904446,-0.0456619793,0.9577168604,1
79,-12.18863305,-0.7614922118,0.8579239243,1.1411018667,1.4665787156,0.8525519395,0.5798703886,0.7360334599,1.3021134701,2.150853129,0.7268448095,0.4669690901,2.3582596824,3.1302155458,4.3343805959,2.3456251139,0.7238071874,0.6540093995,0.4165930577,0.104029057,0.6580637768,1
80,2.36482702,-0.5986539369,-1.115896986,0.7666631816,0.3562928175,-1.7685384507,0.3583865362,1.2452260833,0.5877724341,0.1269445718,3.1277282515,0.5495508686,0.3276212754,2.1525715165,1.4280256379,0.1705821209,0.8260949114,0.4393718934,0.7202295454,0.9371963345,-0.1964559573,1
81,-9.4975954177,0.3554817927,0.8145198225,0.0589255892,-0.185053671,-0.8076484876,0.126367305,0.6634425412,0.0034722251,0.0342448612,0.6522960795,1.4268679433,2.2580911274,1.0606963105,0.8310596788,0.4459053864,0.9374789135,0.6862177518,0.9982643898,0.9829263766,0.6911996953,1
82,-0.1524387714,-1.4465346996,0.8002979493,-0.3091144448,-0.2334666615,1.7327211869,2.092462637,0.6404768077,0.09555174,0.0545066821,3.0023227116,0.2353845546,2.2262041257,0.7340967517,0.7917839922,5.6560240851,0.1239420877,0.6964929427,0.9526033427,0.972870225,-0.1612181847,1
83,-3.7796741207,0.6845011069,0.3708250013,0.1420618052,1.5199948608,1.7195893074,0.4685417653,0.1375111816,0.0201815565,2.3103843768,2.9569873862,1.9827823922,1.4489294904,1.152647886,4.5722016975,5.5822354108,0.7747345869,0.9320286952,0.989926181,0.0507796175,-0.1482445581,1
84,-12.6193446804,0.9295051115,0.5822245914,-2.0946030712,0.1237219142,-0.1301069542,0.8639797523,0.3389854748,4.3873620259,0.0153071121,0.0169278195,2.5332551884,1.7900160591,0.1231191035,1.1317011173,0.87800152,0.5982306216,0.8352414518,-0.5001800955,0.9923562018,0.9915480231,1
85,-5.5703179575,0.0939532294,0.9430460873,-2.7396771672,-0.5693120535,0.2699043549,0.0088272093,0.8893359228,7.5058309804,0.3241162142,0.0728483608,1.0985083668,2.5677912339,0.0645911957,0.5659146238,1.3098391651,0.995589641,0.5873254001,-0.9203133792,0.8422720139,0.9637964035,1
86,-4.9190288344,-0.4668455461,-1.4169061131,0.8689634869,0.2768719058,-0.9711045704,0.2179447639,2.0076229334,0.7550975416,0.0766580522,0.9430440867,0.626976922,0.2424630108,2.3844380709,1.3189974044,0.3786645454,0.8929924589,0.1532835228,0.6456184377,0.9619152014,0.5643880421,1
87,14.4940056491,0.3148172045,0.821585712,0.0052926463,0.8005648034,0.0782601752,0.0991098723,0.6750030822,2.80121048501381E-05,0.6409040045,0.006124655,1.3700088566,2.2741030526,1.0053066771,2.2267982767,1.0814039765,0.9508529961,0.6810609633,0.999985994,0.6963014331,0.9969392351,1
88,1.6132574756,-0.3952289827,-1.1594205164,-0.085930767,0.194292938,0.8758327616,0.1562059487,1.3442559338,0.0073840967,0.0377497458,0.7670830263,0.6735257959,0.3136678936,0.9176577612,1.21445199,2.4008738172,0.9229084258,0.3998707347,0.996310223,0.9811844293,0.6403574552,1
89,-9.3594486447,-0.1151074685,0.4574156062,-0.9646120137,-0.7826291558,-0.110389299,0.0132497293,0.2092290368,0.930476337,0.6125083956,0.0121857973,0.8912703553,1.5799853996,0.3811310447,0.4572023734,0.8954854558,0.9933824469,0.8971968406,0.5697357771,0.7090620519,0.9939132861,1
90,-11.9115514663,-1.054628464,0.8202478373,0.4631303293,0.2790957644,0.3389041252,1.112241197,0.6728065146,0.2144897019,0.0778944457,0.1148560061,0.3483218174,2.2710626219,1.5890404275,1.321933932,1.4034087872,0.4935508954,0.6820399811,0.8946584058,0.961304936,0.9431195595,1
